precinctname,masters_sen_pct,lake_gov_pct,finchem_sos_pct,hamadeh_atg_pct,tvotesrepgov,magafactor,magamean
0001 ACACIA,46.153847,53.559322,43.79562,35.8885,295,1.177536,44.849323
0002 ACOMA,41.176472,49.800797,39.848812,35.833332,1004,.15860853,41.664852
0003 ACUNA,49.367088,50,46.376812,26.388889,78,.11954351,43.033195
0004 ADOBE,45.833332,61.53846,49.420849,40.07782,273,1.56979,49.217613
0005 ADORA,44.003689,51.040726,43.333332,46.19772,1105,1.4580455,46.143867
0006 AGRITOPIA,44.82143,57.487091,43.977055,35.583942,581,1.1040584,45.467381
0007 AGUA FRIA,37.931034,42.164181,38.64542,29.902912,536,-.38770318,37.160889
0008 AGUILA,38.18182,48.717949,44.144146,35.714287,117,.57494712,41.689552
0009 AHWATUKEE,35.480225,41.420765,35.280094,29.024677,915,-1.0248291,35.301441
0010 AIRLINE CANAL,48.523209,54.338844,47.671841,37.719299,484,1.2812707,47.063297
0011 ALAMO,47.107437,54.949493,39.78022,33.477322,495,.39826083,43.828617
0012 ALEXANDER,30.649137,35.948757,29.921944,26.80851,1249,-1.9744421,30.832087
0013 ALHAMBRA,41.935482,61.904762,48.214287,39.344261,63,1.6468933,47.849697
0014 ALMA,100,33.333332,0,0,3,-1.3657578,33.333332
0015 ALPACA,29.535866,36.313618,36.966125,26.724138,727,-1.1710255,32.384937
0016 ALSUP,46.875,62.83186,47.846889,43.51852,226,2.1001761,50.268066
0017 ALTADENA,46.153847,56.132076,45.864662,39.800995,424,1.4612303,46.987896
0018 ALVARADO,51.677853,48.344372,46.323528,39.007092,151,.74421972,46.338211
0019 AMBER,39.896374,53.213367,38.46154,31.232876,389,.058796778,40.701038
0020 ANDERSON,40.579712,48.295456,40.294117,36.873158,352,.37385473,41.510612
0021 ANDORA,45.083931,54.35294,41.625614,32.038834,425,.71022141,43.27533
0022 ANGELA,37.275307,51.167133,37.837837,31.625616,1071,.054757003,39.476475
0023 ANNETTE,39.372326,50.629372,40.242058,31.008902,715,.12240184,40.313164
0024 APACHE,44.214874,49.899395,49.892471,35.774059,497,.64719951,44.945198
0025 APACHE PARK,43.487396,48.132782,39.592762,36.725662,482,.189189,41.98465
0026 APACHE WELLS,36.681789,46.878983,38.927578,31.296673,1570,-.19482382,38.446255
0027 APOLLO,43.157894,43.523315,40.782124,28.877005,193,-.17804949,39.085083
0028 ARBOLEDA,33.333332,43.132889,36.666668,32.227489,1347,-1.0949721,36.340096
0029 ARBOR,44.776119,57.004829,42.63158,37.435898,207,1.0044301,45.462105
