jurisdiction,cbs_region,precinct_id,party,precinct_total_reg,precinct_total_party_reg,precinct_pct_black,precinct_pct_party_black,precinct_pct_white,precinct_pct_party_white,precinct_pct_nonwhite,precinct_pct_party_nonwhite,precinct_avg_age,precinct_avg_party_age,precinct_pct_una,precinct_pct_party_election_day_lag
ALAMANCE,4,,Democrat,16165,6838,0.20457779152489947,0.4066978648727698,0.6940921744509744,0.5064346300087745,0.3059078255490257,0.4935653699912255,65.54166408908135,67.99385785317344,0.26538818434890193,NA
ALAMANCE,4,,Republican,16165,4975,0.20457779152489947,0.015477386934673367,0.6940921744509744,0.9366834170854271,0.3059078255490257,0.06331658291457286,65.54166408908135,71.08562814070352,0.26538818434890193,NA
ALAMANCE,4,01,Democrat,3723,541,0.05989793177544991,0.29944547134935307,0.8490464679022294,0.600739371534196,0.15095353209777063,0.39926062846580407,50.784850926672036,56.46210720887246,0.31775449905989794,0.27314814814814814
ALAMANCE,4,01,Republican,3723,1976,0.05989793177544991,0.006072874493927126,0.8490464679022294,0.9291497975708503,0.15095353209777063,0.0708502024291498,50.784850926672036,51.63815789473684,0.31775449905989794,0.29510229386236825
ALAMANCE,4,02,Democrat,3711,540,0.039881433575855565,0.19814814814814816,0.886284020479655,0.7222222222222222,0.11371597952034491,0.2777777777777778,51.54271085960657,57.12592592592593,0.31393155483697116,0.2639593908629442
ALAMANCE,4,02,Republican,3711,1984,0.039881433575855565,0.004032258064516129,0.886284020479655,0.9410282258064516,0.11371597952034491,0.05897177419354839,51.54271085960657,52.677923387096776,0.31393155483697116,0.27304550758459745
ALAMANCE,4,035,Democrat,4410,1348,0.12834467120181406,0.30712166172106825,0.7394557823129252,0.5771513353115727,0.2605442176870748,0.4228486646884273,45.33310657596372,43.52818991097923,0.35555555555555557,0.31016507384882713
ALAMANCE,4,035,Republican,4410,1453,0.12834467120181406,0.01169993117687543,0.7394557823129252,0.9064005505849966,0.2605442176870748,0.09359944941500344,45.33310657596372,51.62835512732278,0.35555555555555557,0.25944767441860467
ALAMANCE,4,03C,Democrat,2378,603,0.0727502102607233,0.21890547263681592,0.8229604709840201,0.6533996683250415,0.1770395290159798,0.3466003316749585,54.2703952901598,59.11608623548922,0.3389402859545837,0.49270664505672607
ALAMANCE,4,03C,Republican,2378,951,0.0727502102607233,0.006309148264984227,0.8229604709840201,0.9453207150368034,0.1770395290159798,0.054679284963196635,54.2703952901598,56.365930599369086,0.3389402859545837,0.3415892672858617
ALAMANCE,4,03N,Democrat,3307,1071,0.08164499546416693,0.1839402427637722,0.8025400665255519,0.7124183006535948,0.19745993347444815,0.2875816993464052,46.44420925309949,43.35200746965453,0.35016631387964925,0.35508021390374334
ALAMANCE,4,03N,Republican,3307,1052,0.08164499546416693,0.0038022813688212928,0.8025400665255519,0.935361216730038,0.19745993347444815,0.06463878326996197,46.44420925309949,54.5180608365019,0.35016631387964925,0.23018867924528302
ALAMANCE,4,03N2,Democrat,668,233,0.010479041916167664,0.02145922746781116,0.9356287425149701,0.9227467811158798,0.06437125748502993,0.07725321888412018,80.96706586826348,83.21030042918454,0.3532934131736527,1.0161943319838056
ALAMANCE,4,03N2,Republican,668,198,0.010479041916167664,0.010101010101010102,0.9356287425149701,0.9545454545454546,0.06437125748502993,0.045454545454545456,80.96706586826348,79.76767676767676,0.3532934131736527,0.4015748031496063
ALAMANCE,4,03SE,Democrat,3971,1329,0.24401913875598086,0.48833709556057187,0.6111810627046084,0.36418359668924005,0.3888189372953916,0.63581640331076,49.78468899521531,50.598946576373216,0.36942835557794007,NA
ALAMANCE,4,03SE,Republican,3971,1140,0.24401913875598086,0.01929824561403509,0.6111810627046084,0.8982456140350877,0.3888189372953916,0.10175438596491228,49.78468899521531,55.73859649122807,0.36942835557794007,NA
ALAMANCE,4,03SM,Democrat,3743,1074,0.18888592038471813,0.419925512104283,0.6313117819930537,0.37988826815642457,0.3686882180069463,0.6201117318435754,48.56024579214534,49.4292364990689,0.41464066257013094,NA
ALAMANCE,4,03SM,Republican,3743,1088,0.18888592038471813,0.015625,0.6313117819930537,0.8887867647058824,0.3686882180069463,0.11121323529411764,48.56024579214534,53.54595588235294,0.41464066257013094,NA
