state,jurisdiction,precinct_id,precinct_cbs,race_name,vote_mode,total_2022,total_reg,total_reg_dem,total_reg_rep,us_senate_republican_brnovich_pct,us_senate_republican_lamon_pct,us_senate_republican_masters_pct,us_senate_republican_mcguire_pct,us_senate_republican_olson_pct,us_senate_republican_w_pct,us_senate_republican_bertone_pct,us_senate_republican_bozic_pct,us_senate_republican_nq_pct,governor_republican_lake_pct,governor_republican_neely_pct,governor_republican_salmon_pct,governor_republican_robson_pct,governor_republican_tulliani_pct,governor_republican_w_pct,governor_republican_finerd_pct,governor_republican_roldan_pct,governor_republican_schatz_pct,governor_republican_nq_pct,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col,magafactor,magamean
AZ,MARICOPA,,NA,US SENATE-Republican,Aggregated,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,,NA,US SENATE-Republican,Early Voting,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,,NA,US SENATE-Republican,Election Day,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,,NA,US SENATE-Republican,Provisional,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,,NA,US SENATE-Republican,Total Turnout,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,,NA,US SENATE-Republican,Total Vote Share,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,0001 ACACIA,04013_0001 ACACIA,US SENATE-Republican,Aggregated,90,1748,498,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471806674,0.528193326,0.18993135,0.231121281,0.321510297,0.257437071,0.728832952,0.016018307,0.199656751,0.055491991,0.354682779,0.300906344,0.344410876,0.652359542,0.347640458,0.458462686,0.270370265,1.177536,44.849323
AZ,MARICOPA,0001 ACACIA,04013_0001 ACACIA,US SENATE-Republican,Early Voting,238,1748,498,570,0.1638655462184874,0.25210084033613445,0.42016806722689076,0.08403361344537816,0.06302521008403361,0.008403361344537815,0,0,0.008403361344537815,0.49586776859504134,0.05785123966942149,0.045454545454545456,0.3760330578512397,0.024793388429752067,0,0,0,0,0,0.471806674,0.528193326,0.18993135,0.231121281,0.321510297,0.257437071,0.728832952,0.016018307,0.199656751,0.055491991,0.354682779,0.300906344,0.344410876,0.652359542,0.347640458,0.458462686,0.270370265,1.177536,44.849323
AZ,MARICOPA,0001 ACACIA,04013_0001 ACACIA,US SENATE-Republican,Election Day,51,1748,498,570,0.11764705882352941,0.17647058823529413,0.6274509803921569,0.0392156862745098,0.0392156862745098,0,0,0,0,0.7307692307692307,0.038461538461538464,0.019230769230769232,0.19230769230769232,0.019230769230769232,0,0,0,0,0,0.471806674,0.528193326,0.18993135,0.231121281,0.321510297,0.257437071,0.728832952,0.016018307,0.199656751,0.055491991,0.354682779,0.300906344,0.344410876,0.652359542,0.347640458,0.458462686,0.270370265,1.177536,44.849323
AZ,MARICOPA,0001 ACACIA,04013_0001 ACACIA,US SENATE-Republican,Provisional,1,1748,498,570,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.471806674,0.528193326,0.18993135,0.231121281,0.321510297,0.257437071,0.728832952,0.016018307,0.199656751,0.055491991,0.354682779,0.300906344,0.344410876,0.652359542,0.347640458,0.458462686,0.270370265,1.177536,44.849323
