state,jurisdiction,precinct_id,total_turnout_2022,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,MARICOPA,0001 ACACIA,380,04013_0001 ACACIA,MARICOPA,1748,587,498,570,632,653,440,853,763,1178,0.471806674,0.528193326,0.18993135,0.231121281,0.321510297,0.257437071,0.728832952,0.016018307,0.199656751,0.055491991,0.354682779,0.300906344,0.344410876,0.652359542,0.347640458,0.458462686,0.270370265
AZ,MARICOPA,0002 ACOMA,1224,04013_0002 ACOMA,MARICOPA,3373,870,718,1602,1539,1617,1103,1951,1842,2615,0.485110185,0.514889815,0.193596205,0.208419804,0.31396383,0.28402016,0.779494799,0.008915305,0.132540862,0.079049034,0.272727273,0.22507837,0.502194357,0.546622023,0.453377977,0.416039619,0.36345518
AZ,MARICOPA,0003 ACUNA,100,04013_0003 ACUNA,MARICOPA,3048,1180,1465,295,757,793,455,1123,950,1604,0.472932581,0.527067419,0.312766656,0.256974073,0.226124056,0.204135215,0.205708661,0.036089239,0.723425197,0.034776903,0.401360544,0.49829932,0.100340136,0.814781463,0.185218537,0.16233225,0.043376411
AZ,MARICOPA,0004 ADOBE,347,04013_0004 ADOBE,MARICOPA,1526,569,356,505,483,512,304,680,624,1067,0.491738268,0.508261732,0.176933159,0.321100917,0.328964613,0.173001311,0.760812582,0.005897772,0.141546527,0.091743119,0.397902098,0.248951049,0.353146853,0.6595523,0.3404477,0.496187127,0.264625455
AZ,MARICOPA,0005 ADORA,1373,04013_0005 ADORA,MARICOPA,4446,1341,979,1946,1262,1411,838,2007,2062,3414,0.493535949,0.506464051,0.153621233,0.271704903,0.399460189,0.175213675,0.762483131,0.010121457,0.132703554,0.094691858,0.314345992,0.229488983,0.456165026,0.5852921,0.4147079,0.437210689,0.325272442
AZ,MARICOPA,0006 AGRITOPIA,753,04013_0006 AGRITOPIA,MARICOPA,3029,974,711,1165,1079,1129,685,1501,1395,2192,0.478231971,0.521768029,0.210960713,0.311323869,0.336084516,0.141630901,0.798283262,0.019478376,0.125123803,0.057114559,0.341754386,0.249473684,0.40877193,0.529064366,0.470935634,0.407370182,0.39091308
AZ,MARICOPA,0007 AGUA FRIA,645,04013_0007 AGUA FRIA,MARICOPA,1563,409,404,652,668,700,577,934,907,1222,0.410025707,0.589974293,0.060179257,0.113316261,0.220870679,0.605633803,0.864363404,0.005758157,0.097888676,0.031989763,0.279180887,0.275767918,0.445051195,0.641876296,0.358123704,0.545508433,0.318854971
AZ,MARICOPA,0008 AGUILA,179,04013_0008 AGUILA,MARICOPA,446,130,66,229,145,151,112,185,179,271,0.511210762,0.488789238,0.188340807,0.150224215,0.257847534,0.403587444,0.636363636,0,0.354545455,0.009090909,0.305882353,0.155294118,0.538823529,0.726089528,0.273910472,0.442902637,0.193461
AZ,MARICOPA,0009 AHWATUKEE,1194,04013_0009 AHWATUKEE,MARICOPA,3631,972,1235,1197,1930,2002,1491,2343,2362,3019,0.476901798,0.523098202,0.096694215,0.184297521,0.315702479,0.40330578500000003,0.832828422,0.009088405,0.114293583,0.04378959,0.285546416,0.362808461,0.351645123,0.453782534,0.546217466,0.367918304,0.464910118
