county,link
ALACHUA,https://enr.electionsfl.org/ALA/3500/Summary/
BAKER,https://enr.electionsfl.org/BAK/Summary/3565/
BAY,https://enr.electionsfl.org/BAY/3507/Summary/
BRADFORD,https://enr.electionsfl.org/BRA/Summary/3545
BREVARD,http://enr.electionsfl.org/BRE/3537/Summary/
BROWARD,http://enr.electionsfl.org/BRO/3578/Summary/
CALHOUN,http://enr.electionsfl.org/CAL/3523/Summary/
CHARLOTTE,https://enr.electionsfl.org/CHA/Summary/3567/
CITRUS,https://enr.electionsfl.org/CIT/3532/Summary/
CLAY,http://enr.electionsfl.org/CLA/3499/summary/
COLLIER,https://enr.electionsfl.org/CLL/3484/Summary/
COLUMBIA,https://enr.electionsfl.org/CLM/3493/Summary/
DESOTO,https://enr.electionsfl.org/DES/3558/Summary/
DIXIE,https://enr.electionsfl.org/DIX/3488/Summary/
DUVAL,https://enr.electionsfl.org/DUV/3491/Summary/
ESCAMBIA,http://enr.electionsfl.org/ESC/3547/Summary/
FLAGLER,http://enr.electionsfl.org/FLA/3528/Summary/
FRANKLIN,https://enr.electionsfl.org/FRA/Summary/3495
GADSDEN,https://enr.electionsfl.org/GAD/Summary/3566/
GILCHRIST,https://enr.electionsfl.org/GIL/3573/Summary/
GLADES,https://enr.electionsfl.org/GLA/Summary/3489/
GULF,https://enr.electionsfl.org/GUL/3546/Summary/
HAMILTON,https://enr.electionsfl.org/HAM/Summary/3494/
HARDEE,https://enr.electionsfl.org/HAR/3561/Summary/
HENDRY,https://enr.electionsfl.org/HEN/Summary/3554/
HERNANDO,https://enr.electionsfl.org/HER/3562/Summary/
HIGHLANDS,https://enr.electionsfl.org/HIG/3531/Summary/
HILLSBOROUGH,https://enr.electionsfl.org/HIL/3508/Summary/
HOLMES,https://enr.electionsfl.org/HOL/3548/Summary/
INDIAN RIVER,https://enr.electionsfl.org/IND/3544/Summary/
JACKSON,https://enr.electionsfl.org/JAC/Summary/3505/
JEFFERSON,https://enr.electionsfl.org/JEF/Summary/3564/
LAFAYETTE,https://enr.electionsfl.org/LAF/3552/Summary/
LAKE,https://enr.electionsfl.org/LAK/3520/Summary
LEE,https://enr.electionsfl.org/LEE/3556/Summary
LEON,https://enr.electionsfl.org/LEO/3482/Summary/
LEVY,https://enr.electionsfl.org/LEV/3530/Summary/
LIBERTY,https://enr.electionsfl.org/LIB/Summary/3568
MADISON,https://enr.electionsfl.org/MAD/Summary/3563/
MANATEE,https://enr.electionsfl.org/MAN/3569/Summary/
MARION,https://enr.electionsfl.org/MRN/Summary/3527/
MARTIN,https://results.enr.clarityelections.com/FL/Martin/120187/
MIAMI-DADE,https://enr.electionsfl.org/DAD/3525/Summary/
MONROE,https://enr.electionsfl.org/MON/Summary/3519/
NASSAU,https://enr.electionsfl.org/NAS/3511/Summary/
OKALOOSA,https://do-not-post-this.electionsfl.org/OKA/3560/Summary/
OKEECHOBEE,https://enr.electionsfl.org/OKE/Summary/3504/
ORANGE,https://enr.electionsfl.org/ORA/3549/Summary/
OSCEOLA,https://www.voteosceola.gov
PALM BEACH,https://enr.electionsfl.org/PAL/3526/Summary/
PASCO,https://enr.electionsfl.org/PAS/3509/Summary/
PINELLAS,https://enr.votepinellas.gov/FL/Pinellas/120014/
POLK,https://enr.electionsfl.org/POL/3517/Summary/
PUTNAM,https://enr.electionsfl.org/PUT/3524/Summary/
SANTA ROSA,https://enr.electionsfl.org/SAN/3497/Summary/
SARASOTA,https://enr.electionsfl.org/SAR/3555/Summary/
SEMINOLE,https://voteseminole.gov/liveresults
ST. JOHNS,https://enr.electionsfl.org/STJ/3540/Summary/
ST. LUCIE,https://do-not-post-this.electionsfl.org/STL/3490/Summary/
SUMTER,https://enr.electionsfl.org/SUM/3518/Summary/
SUWANNEE,https://enr.electionsfl.org/SUW/Summary/3510/
TAYLOR,https://enr.electionsfl.org/TAY/Summary/3550/
UNION,https://enr.electionsfl.org/UNI/Summary/3512/
VOLUSIA,https://enr.electionsfl.org/VOL/3536/Summary/
WAKULLA,http://enr.electionsfl.org/WAK/3557/Summary/
WALTON,http://enr.electionsfl.org/WAL/3529/Summary/
WASHINGTON,https://enr.electionsfl.org/WAS/Summary/3541/
