State,Office,Office Code,Jurisdiction Code,Election Type,Election Type Code,Full Name,Last Name,Candidate ID
Alabama,House,H,1,General Election,G,Tom Holmes,Holmes,20077342
Alabama,House,H,1,General Election,G,Barry Moore,Moore,20073840
Alabama,House,H,1,General Election,G,Write-ins,Write-ins,21303
Alabama,House,H,2,General Election,G,Caroleene Dobson,Dobson,20077281
Alabama,House,H,2,General Election,G,Shomari Figures,Figures,20077274
Alabama,House,H,2,General Election,G,Write-ins,Write-ins,21303
Alabama,House,H,3,General Election,G,Mike Rogers,Rogers,1161
Alabama,House,H,3,General Election,G,Write-ins,Write-ins,21303
Alabama,House,H,4,General Election,G,Robert Aderholt,Aderholt,17
Alabama,House,H,4,General Election,G,Write-ins,Write-ins,21303
Alabama,House,H,5,General Election,G,Dale Strong,Strong,20074504
Alabama,House,H,5,General Election,G,Write-ins,Write-ins,21303
Alabama,House,H,6,General Election,G,Elizabeth Anderson,Anderson,20077352
Alabama,House,H,6,General Election,G,Gary Palmer,Palmer,63532
Alabama,House,H,6,General Election,G,Write-ins,Write-ins,21303
Alabama,House,H,7,General Election,G,Robin Litaker,Litaker,20077288
Alabama,House,H,7,General Election,G,Terri Sewell,Sewell,60639
Alabama,House,H,7,General Election,G,Write-ins,Write-ins,21303
Alabama,President,P,0,General Election,G,Kamala Harris,Harris,64984
Alabama,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Alabama,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Alabama,President,P,0,General Election,G,Jill Stein,Stein,895
Alabama,President,P,0,General Election,G,Donald Trump,Trump,8639
Alabama,President,P,0,General Election,G,Write-ins,Write-ins,21303
Alabama,Supreme Court,B,0,General Election,G,Greg Griffin,Griffin,20078503
Alabama,Supreme Court,B,0,General Election,G,Sarah Stewart,Stewart,20078504
Alabama,Supreme Court,B,0,General Election,G,Write-ins,Write-ins,21303
Alaska,House,H,1,General Election,G,Nick Begich,Begich,20074507
Alaska,House,H,1,General Election,G,Eric Hafner,Hafner,20078867
Alaska,House,H,1,General Election,G,John Wayne Howe,Howe,20073751
Alaska,House,H,1,General Election,G,Mary Peltola,Peltola,20075508
Alaska,House,H,1,General Election,G,Write-ins,Write-ins,21303
Alaska,Issue,I1,0,General Election,G,No,No,3
Alaska,Issue,I1,0,General Election,G,Yes,Yes,2
Alaska,Issue 2,I2,0,General Election,G,No,No,3
Alaska,Issue 2,I2,0,General Election,G,Yes,Yes,2
Alaska,President,P,0,General Election,G,Kamala Harris,Harris,64984
Alaska,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
Alaska,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
Alaska,President,P,0,General Election,G,Peter Sonski,Sonski,20078864
Alaska,President,P,0,General Election,G,Jill Stein,Stein,895
Alaska,President,P,0,General Election,G,Randall Terry,Terry,61513
Alaska,President,P,0,General Election,G,Donald Trump,Trump,8639
Alaska,President,P,0,General Election,G,Cornel West,West,20078274
Alaska,House,H,1,Runoff,W,Nick Begich,Begich,20074507
Alaska,House,H,1,Runoff,W,Eric Hafner,Hafner,20078867
Alaska,House,H,1,Runoff,W,John Wayne Howe,Howe,20073751
Alaska,House,H,1,Runoff,W,Mary Peltola,Peltola,20075508
Alaska,House,H,1,Runoff,W,Write-ins,Write-ins,21303
Alaska,President,P,0,Runoff,W,Kamala Harris,Harris,64984
Alaska,President,P,0,Runoff,W,Robert F. Kennedy Jr.,Kennedy,20077008
Alaska,President,P,0,Runoff,W,Chase Oliver,Oliver,20076636
Alaska,President,P,0,Runoff,W,Peter Sonski,Sonski,20078864
Alaska,President,P,0,Runoff,W,Jill Stein,Stein,895
Alaska,President,P,0,Runoff,W,Randall Terry,Terry,61513
Alaska,President,P,0,Runoff,W,Donald Trump,Trump,8639
Alaska,President,P,0,Runoff,W,Cornel West,West,20078274
All United States,House,H,0,General Election,G,The Democratic candidate,Democratic candidate,17198
All United States,House,H,0,General Election,G,Others,Others,131
All United States,House,H,0,General Election,G,The Republican candidate,Republican candidate,17199
All United States,President,P,0,General Election,G,Shiva Ayyadurai,Ayyadurai,21301
All United States,President,P,0,General Election,G,Jay Bowman,Bowman,20078874
All United States,President,P,0,General Election,G,Claudia De la Cruz,De la Cruz,20078288
All United States,President,P,0,General Election,G,Richard Duncan,Duncan,21126
All United States,President,P,0,General Election,G,Laura Ebke,Ebke,20078868
All United States,President,P,0,General Election,G,Lucifer Everylove,Everylove,20078866
All United States,President,P,0,General Election,G,Rachele Fruit,Fruit,20078828
All United States,President,P,0,General Election,G,Chris Garrity,Garrity,20078735
All United States,President,P,0,General Election,G,Kamala Harris,Harris,64984
All United States,President,P,0,General Election,G,Blake Huber,Huber,20073948
All United States,President,P,0,General Election,G,Robert F. Kennedy Jr.,Kennedy,20077008
All United States,President,P,0,General Election,G,Joseph Kishore,Kishore,20073953
All United States,President,P,0,General Election,G,None of these candidates,None of these candidates,100013
All United States,President,P,0,General Election,G,Chase Oliver,Oliver,20076636
