state,county,path,upload
GA,,https://app.enhancedvoting.com/cdn/results/Georgia/export-2024NovGen.zip,TRUE
NC,,http://dl.ncsbe.gov/ENRS/2024_11_05/results_pct_20241105.zip,TRUE
AZ,Maricopa,https://elections.maricopa.gov/results-and-data/election-results.html#ElectionResultsSearch,TRUE
AZ,Pima,https://www.pima.gov/2865/Election-Results,TRUE
MI,Oakland,122321,TRUE
MI,Macomb,122434,TRUE
MI,Ingham,https://app.enhancedvoting.com/cdn/results/ingham-county-mi/export-general11052024.json,TRUE
MI,Eaton,122590,TRUE
PA,Philadelphia,https://philadelphiaresults.azurewebsites.us/ResultsExport.aspx?,TRUE
PA,Delaware,122488,TRUE
PA,Allegheny,122424,TRUE
NY,,https://enr.boenyc.gov/CD26916AD0.html,FALSE
