state,race_id,race_name,jurisdiction,vote_mode,turnout_current,turnout_modeled,timestamp
AZ,90,US SENATE-Republican,MARICOPA,Aggregated,22092,23879,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Early Voting,307036,306611,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Election Day,0,0,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Provisional,0,0,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Total Turnout,329128,328395,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Total Vote Share,307036,306313,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Aggregated,22092,23879,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Early Voting,307036,306611,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Election Day,0,0,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Provisional,0,0,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Total Turnout,329128,328395,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Total Vote Share,307036,306313,2024-07-31T03:03:00Z
AZ,90,US SENATE-Republican,MARICOPA,Aggregated,22122,23901,2024-07-31T04:41:43Z
AZ,90,US SENATE-Republican,MARICOPA,Early Voting,307036,306611,2024-07-31T04:41:43Z
AZ,90,US SENATE-Republican,MARICOPA,Election Day,1077,4891,2024-07-31T04:41:43Z
AZ,90,US SENATE-Republican,MARICOPA,Provisional,0,0,2024-07-31T04:41:43Z
AZ,90,US SENATE-Republican,MARICOPA,Total Turnout,330235,329581,2024-07-31T04:41:43Z
AZ,90,US SENATE-Republican,MARICOPA,Total Vote Share,308113,307467,2024-07-31T04:41:43Z
AZ,90,US SENATE-Republican,MARICOPA,Aggregated,22350,24146,2024-07-31T05:56:49Z
AZ,90,US SENATE-Republican,MARICOPA,Early Voting,307036,306611,2024-07-31T05:56:49Z
AZ,90,US SENATE-Republican,MARICOPA,Election Day,6786,12957,2024-07-31T05:56:49Z
AZ,90,US SENATE-Republican,MARICOPA,Provisional,0,0,2024-07-31T05:56:49Z
AZ,90,US SENATE-Republican,MARICOPA,Total Turnout,336172,335547,2024-07-31T05:56:49Z
AZ,90,US SENATE-Republican,MARICOPA,Total Vote Share,313822,313228,2024-07-31T05:56:49Z
AZ,90,US SENATE-Republican,MARICOPA,Aggregated,23616,25316,2024-07-31T08:16:01Z
AZ,90,US SENATE-Republican,MARICOPA,Early Voting,307036,306611,2024-07-31T08:16:01Z
AZ,90,US SENATE-Republican,MARICOPA,Election Day,55989,55947,2024-07-31T08:16:01Z
AZ,90,US SENATE-Republican,MARICOPA,Provisional,0,0,2024-07-31T08:16:01Z
AZ,90,US SENATE-Republican,MARICOPA,Total Turnout,386641,386190,2024-07-31T08:16:01Z
AZ,90,US SENATE-Republican,MARICOPA,Total Vote Share,363025,362552,2024-07-31T08:16:01Z
